id,subject,description,status,priority,created_at,category,template_text
1,Defective item received in my order,"I recently purchased a wireless keyboard from your store, but one of the keys keeps getting stuck. I’ve tried resetting it and even replacing the batteries, but the issue persists. Can you help me with a replacement or a solution?",open,high,2023-10-18T14:23:00Z,Product Issues,"Thank you for bringing this to our attention. We’re sorry about the inconvenience and will assist you with the replacement process. Please provide your order number, and we’ll get this sorted out for you."
2,Defective product received in the package,"I recently placed an order and received the item today. Unfortunately, it appears to be defective as it doesn't function as advertised. I would like to know the process for getting a replacement or refund.",open,high,2023-10-15T14:32:07Z,Product Issues,"We apologize for the inconvenience. Please provide photos of the defective product, and we'll assist you with a replacement or refund promptly."
3,Request for Refund on Defective Item,I received an item last week and it doesn't work as described. I've tried reaching out previously but haven't gotten a resolution. I'd like to get a refund as soon as possible.,open,high,2023-10-19T14:32:00Z,Returns and Refunds,Thank you for reaching out. We're sorry to hear about this issue with your item. We’ve forwarded your request to our returns team who will get back to you within 48 hours.
4,Double charge on my credit card,I noticed that my credit card has been charged twice for my last order. Could you please help me resolve this? I need this fixed as soon as possible.,open,high,2023-10-15T14:32:00Z,Billing Issues,Thank you for reaching out. We apologize for the inconvenience caused. We are looking into this issue and will get back to you shortly with a resolution.
5,Received damaged product in shipment,"I just received my order today, but the product is damaged. The outer packaging was fine, but the item inside is broken. I need a replacement or a refund as soon as possible.",open,high,2023-10-20T14:27:35Z,Product Issues,Thank you for reaching out! We're sorry to hear about the damaged product. Please provide a picture of the damaged item so we can assist you with a replacement or refund promptly.
6,Defective product received in recent order,"I just received my order yesterday, but one of the items is defective. The screen has a crack, and it doesn't turn on at all. Can you let me know how to proceed with a replacement or refund?",open,high,2023-10-23T14:42:00Z,Product Issues,We're sorry to hear about the defective item. Please provide us with your order number and a photo of the damaged product so we can assist you with a replacement or refund promptly.
7,Double charge on my credit card,I noticed that I was charged twice for the same purchase on my credit card statement. Can you please look into this and help me resolve the issue? I need the extra charge refunded as soon as possible.,open,high,2023-10-20T14:45:30Z,Billing Issues,Thank you for bringing this to our attention. I’ve escalated this to our billing team for further review and will update you as soon as we have more information. Please allow 1–2 business days for us to investigate.
8,Error message when opening the app,"Hi, I keep getting an 'Error 503: Server Unavailable' message every time I try to open the app on my phone. I’ve tried restarting my device and reinstalling the app, but the issue persists. Can you help me fix this?",open,high,2023-10-25T14:32:45Z,Technical Support,Thank you for reaching out! We’re sorry for the inconvenience. Could you please confirm the version of the app you’re using and your device model so we can investigate further?
9,Example issue in Product Issues,Placeholder description for Product Issues,pending,normal,2025-09-18T13:14:40.267430,Product Issues,Thanks for contacting us about your product issues issue. We’ll look into it.
10,Package delayed beyond the estimated date,"I ordered a product from your website two weeks ago, and the estimated delivery date was three days ago. I have not received any updates regarding the delay, and the tracking information has not changed. Can you please provide an update on the status of my package?",pending,high,2023-10-30T14:23:00Z,Shipping and Delivery,We apologize for the delay with your package. We're currently reaching out to the carrier to get an update on the status and will provide you with the latest details as soon as possible.
11,Incorrect charge on my recent bill,I noticed an extra charge on my credit card statement for this month that I don’t recognize. Can you please clarify what this charge is for? I need to get this resolved as soon as possible.,open,high,2023-10-30T14:23:45Z,Billing Issues,Thank you for reaching out! We’re sorry for the inconvenience. Let me look into your account details to clarify the charge in question and assist you further.
12,Defective item received in recent order,"I recently purchased a fitness tracker from your website, but it stops working intermittently and doesn’t charge properly. I tried different charging cables, but the issue persists. Can you assist with a resolution?",open,high,2023-10-21T14:35:00Z,Product Issues,Thank you for reaching out. We apologize for the inconvenience caused. Could you provide the order number and any photos of the issue so we can assist you better?
13,Request for refund on damaged item,"I received my order yesterday, but the item was damaged upon arrival. I would like to return it and request a full refund. Please let me know how to proceed with the process.",pending,high,2023-10-22T14:32:00Z,Returns and Refunds,Thank you for reaching out to us. I'm sorry to hear about the damaged item. I’ve initiated the return process for you and will send detailed instructions shortly.
14,Defective product received in the mail,"I ordered a vacuum cleaner from your website last week and it arrived yesterday. However, it doesn't turn on when plugged in, and the power button seems to be stuck. Can I get a replacement or a repair for this?",open,high,2023-10-25T14:32:00Z,Product Issues,"Thank you for reaching out to us. We’re sorry to hear about the issue with your vacuum cleaner. Please provide the order number, and we'll assist you in arranging a replacement or repair as quickly as possible."
